article_id,year,clean_text
0,1986,seattl king counti human societi offer dog puppi obedi class bellevu eight week session dog month old held thursday begin feb class hour long begin cost four week crash cours puppi week old held saturday begin feb hour long class start cost dog puppi
1,1986,friday may weekend section even bulletin fail mention except one line notic night owl page visit state major rock talent warren zevon fan linda ronstadt jackson brown fleetwood mac rock name unknowingli perhap listen music least touch directli influenc mr zevon mani visit alway drawn larg loyal crowd whether full band solo appear
2,1986,wil braun ivey johnson skolak tovey berman postal servic promot two omaha employe four other divis director part larg scale reorgan announc last month postmast gener albert casey omaha design divis headquart month ago one nation divis handl postal oper southwest kenneth braun gene ivey jr station
3,1986,takeov news specul provid excit stock market chalk spotti gain yesterday dow jone averag industri point last week rose volum stock exchang came million share million friday later week treasuri due announc quarterli financ plan analyst said trader wari interest rate prospect pend
4,1986,demolit old stage coach inn schedul today delay owner citizen committe talk way save year old build carrol neidhart said member stage coach inn develop committe met owner william vanc sr yesterday made offer buy leas build restor neidhart said committe rais cash pledg less two day vanc marion
5,1986,refer ted almon letter march entitl expens toy polic wrote peopl believ polic simpli prefer monitor traffic easi safe traffic control part polic offic job prefer polic enforc traffic law protect public irrespons person drive three ton deadli weapon know polic offic becam involv mph pursuit drunk driver
6,1986,carolinian use less water even drought risk face shortag even raini year expert say rapid popul growth combin unpredict weather extrem strain abil local govern meet water demand panel member said water conserv seminar monday sponsor agricultur extens servic go rapid growth state best
7,1986,oh look real work penni gum machin juli littl mountain town ward colo young famili stop old depot breakfast children quickli discov step lead small restaur gener store gumbal machin cast iron pedest child slip penni machin could help chuckl rememb stori journey old gumbal machin histor
8,1986,offici susquehanna steam electr station berwick shut unit declar alert yesterday find corros two water pump alert second lowest four classif emerg nuclear plant declar noon lift damag pump two four provid cool water plant emerg diesel gener compon emerg core cool system said joe fouchard
9,1986,bret saberhagen two month victori import thing biggest thing pain said saberhagen pitch five plu inning thursday lead citi royal victori twin win lose draw go see pitch without pain happi sore saberhagen american leagu cy young award record
10,1986,name conductor kent nagano pianist ursula oppen evok vision avant gard fantasi mind faith one would normal find champion far work music john adam pierr boulez elliott carter olivi messiaen freder rzewski th centuri folk name includ perform probabl mean littl averag hollywood bowl audienc might neither nagano
